"Story","Title","Result","Date","Stability","Duration (s)"
"Best Buy Application","Product Api CRUD Test","SUCCESS","2023-01-10T13:37:03.423Z[Europe/London]","0.0","3.19"
"Best Buy Application","Store Api CRUD Test","SUCCESS","2023-01-10T13:37:07.469Z[Europe/London]","0.0","0.26"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by GET request","SUCCESS","2023-01-10T13:37:07.777Z[Europe/London]","0.0","1.24"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by POST request","SUCCESS","2023-01-10T13:37:09.059Z[Europe/London]","0.0","0.02"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by PUT request","SUCCESS","2023-01-10T13:37:09.117Z[Europe/London]","0.0","0.02"
"Testing different endpoints on the best buy application","Check if the best buy applications product api can be accessed by DELETE request","SUCCESS","2023-01-10T13:37:09.182Z[Europe/London]","0.0","0.02"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by GET request","SUCCESS","2023-01-10T13:37:09.246Z[Europe/London]","0.0","0.07"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by POST request","SUCCESS","2023-01-10T13:37:09.397Z[Europe/London]","0.0","0.04"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by PUT request","SUCCESS","2023-01-10T13:37:09.518Z[Europe/London]","0.0","0.03"
"Testing different endpoints on the best buy application","Check if the best buy applications store api can be accessed by DELETE request","SUCCESS","2023-01-10T13:37:09.635Z[Europe/London]","0.0","0.04"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for product api","SUCCESS","2023-01-10T13:37:10.854Z[Europe/London]","0.0","0.01"
"Tags test","This test will verify if a status code of 200 is returned for GET request for store api","SUCCESS","2023-01-10T13:37:10.870Z[Europe/London]","0.0","0.03"
"Tags test","This test will verify if a status code of 200 is returned for GET request for product api","SUCCESS","2023-01-10T13:37:10.904Z[Europe/London]","0.0","0.14"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for store api","SUCCESS","2023-01-10T13:37:11.041Z[Europe/London]","0.0","0.01"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for store api","SUCCESS","2023-01-10T13:37:11.051Z[Europe/London]","0.0","0.01"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for product api","SUCCESS","2023-01-10T13:37:11.069Z[Europe/London]","0.0","0.01"
